epoch,dice_coef,loss,val_dice_coef,val_loss
0,0.3363044,-0.33630441522190924,0.5976202487945557,-0.5973313272556412
1,0.8037186,-0.8037184850077763,0.8213043212890625,-0.820832582834725
2,0.84547496,-0.8454747729212324,0.8572238683700562,-0.8567146257819417
3,0.8688649,-0.8688648301307286,0.863353967666626,-0.8628374087476285
4,0.88486576,-0.8848659560502132,0.8777717351913452,-0.8773140467215921
5,0.89870125,-0.8987011430419494,0.8852368593215942,-0.8848028818023539
6,0.90116817,-0.9011685065576963,0.8867602944374084,-0.8863592387359833
7,0.9079056,-0.9079055078675814,0.8656317591667175,-0.8651426590491678
8,0.91015923,-0.9101590681298871,0.8944823741912842,-0.8940293527095118
9,0.91733164,-0.9173315646492433,0.8866611123085022,-0.8861652690673543
10,0.9163775,-0.916377063109496,0.8990727066993713,-0.8986106375667536
11,0.923284,-0.9232839148178279,0.89669269323349,-0.8962390695776895
12,0.9256313,-0.9256311944711988,0.9061335921287537,-0.9056723641457959
13,0.9266622,-0.9266620827055423,0.905143678188324,-0.9046738209011399
14,0.92982584,-0.929825989442451,0.8967533111572266,-0.8963266638951881
