epoch,dice_coef,loss,val_dice_coef,val_loss
0,0.28258264,-0.2825826404421894,0.6934912204742432,-0.6933659682764071
1,0.80473936,-0.8047394085431767,0.833564817905426,-0.8330210263483993
2,0.8545771,-0.8545771249543841,0.8505347371101379,-0.8501698881666236
3,0.87162876,-0.8716283646699424,0.8616669774055481,-0.8612264027105314
4,0.8903354,-0.8903354423068394,0.8668128848075867,-0.8663369756992733
5,0.8928018,-0.8928016318339054,0.8865705132484436,-0.8861142073836282
6,0.9000033,-0.9000033357433069,0.8826167583465576,-0.8821860969623673
7,0.91020685,-0.9102067131305409,0.8952125310897827,-0.8947584060865028
8,0.9146805,-0.9146803461502646,0.8897221088409424,-0.8892782235814032
9,0.91517663,-0.915176714413634,0.8963162302970886,-0.8958431805405661
10,0.9199982,-0.9199981277234086,0.884909451007843,-0.8844745855465114
11,0.9185361,-0.918536385643148,0.903611421585083,-0.9031527788839607
12,0.9251198,-0.9251197983171339,0.9002055525779724,-0.8997656808835324
13,0.92746544,-0.9274654881419423,0.8992934226989746,-0.8988524051470177
14,0.9220266,-0.9220264130663649,0.9064496159553528,-0.9060152329017068
